C,o,m,p,a,n,i,e,s
Smart Fabric,"Smart Fabric provides internet-enabled solutions to textile-related companies and connects spinning mill operators and printing, dyeing, and weaving factories with businesses. The company offers a cloud-based enterprise resource planning (ERP) system that aims to help transform both the manufacturing and trading of China's textile industry.",Internet Software & Services,China,$100.00M,2014,09/12/2019,Series C,$100.00M
Matrixport,"Matrixport is a digital financial services platform that enables users to trade, entrust, invest, and borrow crypto assets all in one place.",Internet Software & Services,Singapore,$100.00M,2019,06/01/2021,Series C,$100.00M
Velocity Global,"Velocity Global offers international PEO, global immigration, payroll, recruiting, and consulting to help companies achieve their global growth goals.",HR & Workforce Management Software,United States,$100.00M,2014,04/06/2021,Private Equity,$100.00M
XForcePlus,XForcePlus specializes in the development and application of enterprise SaaS solutions in supply chain information and VAT invoice management.,Internet Software & Services,China,$200.00M,2015,06/01/2021,Series C - II,$100.00M
OptiMark,"OptiMark is a Jersey City, New Jersey-based Software (non-internet/mobile) company.",,United States,$100.00M,,07/01/1999,Series B,$100.00M
Deskera,"Deskera offers cloud-based solutions to small and medium-sized enterprises in Southeast Asia. Its solutions allows SMEs to track finances, manage customers, and hire and manage employees.",Internet Software & Services,Singapore,$160.00M,2008,05/06/2019,Series A - II,$100.00M
Assured Asset Management,"Assured Asset Management is a global asset management firm that provides professional and institutional investors with direct access to high-quality assets. The company leverages core competencies in technology, risk management and global networks to drive efficient investing amongst dynamic market conditions and deliver a superior financial experience. It offers carefully structured investment products and elite advisory services to individual and institutional investors while engineering fund management solutions for financial institutions. Assured Asset Management is headquartered in Hong Kong and operates in over five countries internationally.",Internet Software & Services,Hong Kong,$100.00M,2016,06/04/2019,Line of Credit,$100.00M
DoiT International,DoiT International delivers an integrated suite of services that provide everything needed to quickly and easily build and manage a data lake for analytics on Amazon AWS.,IT Services,Israel,$100.00M,2009,11/01/2019,Private Equity,$100.00M
netASPx,"netASPx is a Internet/Internet Software & Services company based in Herndon, Virginia. netASPx has received investment from GTCR Golder Rauner.",Internet Software & Services,United States,$100.00M,1999,03/17/2000,Unattributed VC,$100.00M
Habi,Habi helps middle-class customers buy and sell their homes more quickly and efficiently without the uncertainty of traditional real estate transactions.,Internet Software & Services,Colombia,$115.50M,2019,06/23/2021,Series B,$100.00M
Starburst,"Starburst provides a distributed SQL query engine. With the ability to connect to a wide variety of data sources, companies use Presto to power their large-scale, interactive analytics without the need to move their data.",Internet Software & Services,United States,$164.00M,2017,01/06/2021,Series C,$100.00M
Totango,Totango offers an enterprise-grade customer success platform that helps recurring revenue businesses with actively monitoring customer health changes and identifying at-risk accounts.,Internet Software & Services,United States,$136.30M,2010,09/29/2021,Series D,$100.00M
Veritix,Veritix is a digital ticketing solutions provider.,eCommerce,United States,$100.00M,,11/16/2010,Line of Credit,$100.00M
EIS Group,"EIS is an insurance software company that enables insurers to operate like a tech company: fast, simple, agile. EIS provides a platform for high-velocity insurance. This open, flexible platform of core systems and digital solutions liberates insurers to launch products faster, deliver new revenue channels, and create insurance experiences. With thousands of open APIs, the platform gives insurers the freedom to connect to a vast ecosystem of insurtech and emerging technologies.",Accounting & Finance Software,United States,$152.45M,2006,06/29/2021,Private Equity,$100.00M
Sisense,"Sisense goes beyond traditional business intelligence by providing organizations with the ability to infuse analytics everywhere, embedded in both customer and employee applications and workflows. Sisense customers are breaking through the barriers of analytics adoption by going beyond the dashboard with Sisense Fusion - the highly customizable, AI-driven analytics cloud platform, that infuses intelligence at the right place and the right time, every time.",Internet Software & Services,United States,$278.00M,2004,01/09/2020,Series F,$100.00M
Axonius,Axonius provides security policy enforcement for all assets and users by aggregating existing business data from management and security The platform encompasses traditional endpoint and data center devices as well as IoT devices; improving an organization's security and operational posture. Axonius allows IT and security operations teams to safely enable device adoption and usage at scale.,Internet Software & Services,United States,$195.00M,2017,03/01/2021,Series A,$100.00M
Humane,"Humane is a technology company that creates and sells consumer hardware, software and services.",eCommerce,United States,$142.00M,2017,09/01/2021,Series B,$100.00M
Gudang Ada,Gudang Ada is a B2B marketplace that provides solutions for the FMCG supply chain in Indonesia. The company facilitates bulk transactions between FMCG Traders (Buyers and Sellers) and Principals using an online platform.,eCommerce,Indonesia,$135.90M,2019,07/22/2021,Series B,$100.00M
