Companies,Description,Industry,Country,Total Funding,Founded Year,Latest Funding Data,Latest Funding Round,Latest Funding Amount
Julia Computing,"Julia Computing is a new programming language that combines the productivity of R, Python, and Matlab with the performance of C and Fortran. Julia provides a sophisticated compiler, distributed parallel execution, numerical accuracy, and an extensive library of fast mathematical functions. The language is being used by a number of universities for teaching and research and by businesses in areas as diverse as engineering, finance, and e-commerce.","Scientific, Engineering Software",United States,$29.57M,2015,07/20/2021,Series A,$24.00M
Dorado Software,Dorado Software offers network configuration management software for uniform access and control of network assets. The products aim to increase operational efficiencies and let network administrators deploy new applications and services.,Security Software,United States,$24.00M,1998,03/12/2001,Unattributed VC,$24.00M
Centric Software,"Centric Software, formerly Coryphaeus Software, provides a Digital Transformation Platform for the most prestigious names in fashion, retail, footwear, luxury, outdoor and consumer goods. Centric Visual Innovation Platform (VIP) is a visual, fully digital collection of boards for touch-based devices like iPad, iPhone and large-scale, touch-screen televisions. Centric VIP transforms decision making and automates execution to truly collapse time to market and distance to trend. Centric Software's flagship product lifecycle management (PLM) platform, Centric 8, delivers enterprise-class merchandise planning, product development, sourcing, business planning, quality, and collection management functionality tailored for fast-moving consumer industries. Centric SMB packages extended PLM i...",Supply Chain & Logistics Software,United States,$162.44M,1989,07/29/2014,Series D,$24.00M
Seranoa Networks,"Seranoa Networks was a Electronics/Chips & Semiconductors company based in Boxborough, Massachusetts.",Chips & Semiconductors,United States,$42.25M,,08/20/2003,Series B,$24.00M
Knowledge Impact,"Knowledge Impact was a Internet/Internet Software & Services company based in Wayland, Massachusetts. Knowledge Impact was acquired in 2004.",Internet Software & Services,United States,$49.67M,1985,04/11/2001,Unattributed VC - II,$24.00M
Xealth,"Xealth is a digital health prescribing platform that enables clinicians to easily integrate, prescribe, and monitor digital health tools for patients from their EHR workflows. These can include patient education, online third-party apps, and programs, device monitoring, and non-clinical services such as rideshares, food delivery, and e-commerce product recommendations. Using the Xealth platform, care teams and physicians can monitor patient engagement and analyze the effects of more engaged patients.",Internet Software & Services,United States,$54.13M,2017,09/21/2021,Series B,$24.00M
B2SB Technologies,"B2SB Technologies is a Internet/Internet Software & Services company based in San Francisco, California. B2SB Technologies' investors include ZDNet, Softbank Capital, Ignite Group, Vector Capital, Opportunity Capital Partners, Accel Partners and El Dorado Ventures.",Internet Software & Services,United States,$84.70M,1998,10/09/2000,Series D,$24.00M
Upstream Security,"Upstream Security offers car manufacturers, app developers, service providers, and fleets a cloud-based shield that blocks cyber-attacks before they reach the vehicle's network.",Internet Software & Services,Israel,$103.50M,2017,08/24/2021,Series C - II,$24.00M
Resuelve Tu Deuda,"Resuelve Tu Deuda (Resolve Your Debt) offers legal, and financial advising, and credit resolution services.",Internet Software & Services,Mexico,$48.14M,2009,02/01/2021,Unattributed - II,$24.00M
Asita Technologies,"Asita Technologies aims to provide a range of appliances with VPN, firewall, 3rd party application hosting and networks",Networking & Connectivity Software,United States,$29.00M,,10/22/2001,Series B,$24.00M
Ieso Digital Health,"Ieso Digital Health, formerly PsychologyOnline, provides digitally-enhanced mental health care services to health providers, private individuals, and businesses via a secure, written conversation platform. The company's system uses proven, evidence-based approaches to treatment, which ensure superior adherence to clinical models.",Internet Software & Services,United Kingdom,$24.76M,,09/12/2017,Series A,$24.00M
SigmaSense,"SigmaSense is a semiconductor and interface solutions company that provides sensor-based, electronic products. Its SigmaTouch Controller utilizes Capacitive Imaging to concurrently transmit and receive for self-capacitance, mutual capacitance, and pen from a single pin. SigmaSense technology enables access to information about interactions with mobile devices, large format interactive displays, and limitless custom sensing applications.",Chips & Semiconductors,United States,$63.38M,2016,10/06/2021,Series B,$24.00M
OpenSite Technologies,"OpenSite Technologies was a Internet/Internet Software & Services company based in Durham, North Carolina. OpenSite Technologies was acquired in 2000.",Internet Software & Services,United States,$28.60M,,03/23/1999,Series C,$24.00M
Walker & Company Brands,"Walker & Company Brands makes health and beauty simple for people of color by developing products and services tailored to the needs of the community. Its vision is to build a consumer-centric health and beauty products company for people of color, inspiring unprecedented customer loyalty. Walker & Company's flagship brand is Bevel. The Bevel Shave System is a system clinically proven to reduce and prevent razor bumps and irritation.",eCommerce,United States,$33.30M,2013,09/28/2015,Series B,$24.00M
Kamoon,"Kamoon is a Software (non-internet/mobile) company based in Fort Lee, New Jersey. Kamoon's investors include Apax Partners, BRM Group and XDL Intervest Capital.",,United States,$27.00M,1999,10/09/2000,Unattributed VC,$24.00M
Lumera,"Lumera was founded in October of 2000 to develop high-performance optical network components using electro-optic polymer materials. The technology of the materials was based on intellectual property developed by University of Washington professors, Dr. Larry Dalton and Dr. Bruce Robinson--both widely acknowledged as being world leaders in the development of electro-optic materials development.",Technical & Scientific Instrumentation,United States,$24.00M,2000,03/08/2001,Series A,$24.00M
